pct_mu,lambda,medida,sim_media,sim_ic95,teorico
25,5.0000,L,0.33427,0.00238,0.33333
25,5.0000,Lq,0.08362,0.00171,0.08333
25,5.0000,W,0.06673,0.00049,0.06667
25,5.0000,Wq,0.01669,0.00034,0.01667
25,5.0000,rho,0.25065,0.00093,0.25000
50,10.0000,L,1.01004,0.01199,1.00000
50,10.0000,Lq,0.50827,0.01028,0.50000
50,10.0000,W,0.10086,0.00115,0.10000
50,10.0000,Wq,0.05076,0.00100,0.05000
50,10.0000,rho,0.50177,0.00191,0.50000
75,15.0000,L,2.98594,0.06097,3.00000
75,15.0000,Lq,2.23641,0.05881,2.25000
75,15.0000,W,0.19926,0.00358,0.20000
75,15.0000,Wq,0.14923,0.00356,0.15000
75,15.0000,rho,0.74953,0.00258,0.75000
100,20.0000,L,236.87006,84.63350,NA
100,20.0000,Lq,235.87288,84.63260,NA
100,20.0000,W,11.85813,4.22882,NA
100,20.0000,Wq,11.80810,4.22882,NA
100,20.0000,rho,0.99719,0.00149,1.00000
125,25.0000,L,12439.76006,191.18707,NA
125,25.0000,Lq,12438.76011,191.18705,NA
125,25.0000,W,497.59298,7.05758,NA
125,25.0000,Wq,497.54794,7.05758,NA
125,25.0000,rho,0.99995,0.00005,1.25000
