politica,s,Q,corrida,costo_orden,costo_mantenimiento,costo_faltante,costo_total
A,30,60,1,57500.0,40650.0,12810.0,110960.0
A,30,60,2,57500.0,44120.0,9570.0,111190.0
A,30,60,3,56500.0,43505.0,11010.0,111015.0
A,30,60,4,58000.0,41370.0,10920.0,110290.0
A,30,60,5,58000.0,40380.0,10680.0,109060.0
A,30,60,6,58500.0,41420.0,9990.0,109910.0
A,30,60,7,58000.0,41720.0,8160.0,107880.0
A,30,60,8,57500.0,42305.0,12120.0,111925.0
A,30,60,9,57000.0,42330.0,12120.0,111450.0
A,30,60,10,58500.0,41715.0,9120.0,109335.0
B,40,80,1,46000.0,73895.0,660.0,120555.0
B,40,80,2,45000.0,75330.0,600.0,120930.0
B,40,80,3,45500.0,74810.0,930.0,121240.0
B,40,80,4,45500.0,73335.0,1530.0,120365.0
B,40,80,5,45000.0,75175.0,1350.0,121525.0
B,40,80,6,46000.0,74745.0,210.0,120955.0
B,40,80,7,45000.0,74755.0,570.0,120325.0
B,40,80,8,45500.0,75410.0,930.0,121840.0
B,40,80,9,45500.0,72490.0,1860.0,119850.0
B,40,80,10,45500.0,72075.0,2430.0,120005.0
C,50,100,1,36000.0,112175.0,0.0,148175.0
C,50,100,2,36000.0,114105.0,90.0,150195.0
C,50,100,3,36500.0,111020.0,240.0,147760.0
C,50,100,4,36500.0,112745.0,0.0,149245.0
C,50,100,5,36500.0,108430.0,30.0,144960.0
C,50,100,6,37000.0,110880.0,0.0,147880.0
C,50,100,7,36500.0,112595.0,0.0,149095.0
C,50,100,8,37500.0,109155.0,0.0,146655.0
C,50,100,9,36000.0,110810.0,0.0,146810.0
C,50,100,10,36500.0,111410.0,0.0,147910.0
