tamano_cola,capacidad_total,lambda_sobre_mu,lambda,corrida,prob_denegacion,P_bloqueo_teorico
0,1,0.25,2.5,1,0.22524271844660193,0.2
0,1,0.25,2.5,2,0.22899159663865545,0.2
0,1,0.25,2.5,3,0.16322314049586778,0.2
0,1,0.25,2.5,4,0.1935483870967742,0.2
0,1,0.25,2.5,5,0.19556451612903225,0.2
0,1,0.25,2.5,6,0.21485943775100402,0.2
0,1,0.25,2.5,7,0.24813432835820895,0.2
0,1,0.25,2.5,8,0.2099009900990099,0.2
0,1,0.25,2.5,9,0.21782178217821782,0.2
0,1,0.25,2.5,10,0.2049808429118774,0.2
0,1,0.5,5.0,1,0.3317261330761813,0.3333333333333333
0,1,0.5,5.0,2,0.31616161616161614,0.3333333333333333
0,1,0.5,5.0,3,0.3247269116186693,0.3333333333333333
0,1,0.5,5.0,4,0.34390485629335976,0.3333333333333333
0,1,0.5,5.0,5,0.34760956175298807,0.3333333333333333
0,1,0.5,5.0,6,0.33537832310838445,0.3333333333333333
0,1,0.5,5.0,7,0.361376673040153,0.3333333333333333
0,1,0.5,5.0,8,0.35,0.3333333333333333
0,1,0.5,5.0,9,0.33299284984678246,0.3333333333333333
0,1,0.5,5.0,10,0.3322751322751323,0.3333333333333333
0,1,0.75,7.5,1,0.4271186440677966,0.42857142857142855
0,1,0.75,7.5,2,0.43859649122807015,0.42857142857142855
0,1,0.75,7.5,3,0.4258373205741627,0.42857142857142855
0,1,0.75,7.5,4,0.424326192121631,0.42857142857142855
0,1,0.75,7.5,5,0.42504866969500327,0.42857142857142855
0,1,0.75,7.5,6,0.40717736369910285,0.42857142857142855
0,1,0.75,7.5,7,0.41022280471821754,0.42857142857142855
0,1,0.75,7.5,8,0.4320827943078913,0.42857142857142855
0,1,0.75,7.5,9,0.43517329910141206,0.42857142857142855
0,1,0.75,7.5,10,0.4340118187787262,0.42857142857142855
0,1,1.0,10.0,1,0.5076923076923077,0.5
0,1,1.0,10.0,2,0.4979757085020243,0.5
0,1,1.0,10.0,3,0.4799176107106076,0.5
0,1,1.0,10.0,4,0.4847859721505931,0.5
0,1,1.0,10.0,5,0.5119284294234593,0.5
0,1,1.0,10.0,6,0.5,0.5
0,1,1.0,10.0,7,0.5053191489361702,0.5
0,1,1.0,10.0,8,0.5101234567901235,0.5
0,1,1.0,10.0,9,0.5014836795252225,0.5
0,1,1.0,10.0,10,0.48416751787538304,0.5
0,1,1.25,12.5,1,0.5565217391304348,0.5555555555555556
