modelo,tipo_cola,tamano_cola,capacidad_total,corrida,lambda,mu,lambda_sobre_mu,L,Lq,W,Wq,utilizacion,prob_denegacion,llegadas,aceptados,denegados,completados
MM1,infinita,infinita,infinita,1,2.5,10.0,0.25,0.31383552157707656,0.06295363440347257,0.1278249801639795,0.025643028270253596,0.25088188717360393,0.0,492,492,0,491
MM1,infinita,infinita,infinita,2,2.5,10.0,0.25,0.3462816493679757,0.11495059530407169,0.14041815609075853,0.04566060704565442,0.231331054063904,0.0,491,491,0,488
MM1,infinita,infinita,infinita,3,2.5,10.0,0.25,0.31145708115373133,0.06585163757256333,0.12359407982290925,0.02613160221133466,0.245605443581168,0.0,504,504,0,504
MM1,infinita,infinita,infinita,4,2.5,10.0,0.25,0.2963254870734571,0.06596367620211771,0.11758947899740359,0.026176061984967344,0.23036181087133933,0.0,504,504,0,504
MM1,infinita,infinita,infinita,5,2.5,10.0,0.25,0.3536524734371626,0.08785653359130664,0.14553599729924388,0.03615495209518792,0.265795939845856,0.0,486,486,0,486
MM1,infinita,infinita,infinita,6,2.5,10.0,0.25,0.3019567274035393,0.07987733604364096,0.13450188303052973,0.03558010514193361,0.22207939135989832,0.0,449,449,0,449
MM1,infinita,infinita,infinita,7,2.5,10.0,0.25,0.3292173303895523,0.08820999747518368,0.1363218759377028,0.036525878871711666,0.24100733291436868,0.0,483,483,0,483
MM1,infinita,infinita,infinita,8,2.5,10.0,0.25,0.2942656739139905,0.06543926907227052,0.13367445400174496,0.029745122305577507,0.22882640484172,0.0,441,441,0,440
MM1,infinita,infinita,infinita,9,2.5,10.0,0.25,0.38020861366051006,0.11715055102910948,0.1508764339922659,0.046488313900440274,0.26305806263140064,0.0,504,504,0,504
MM1,infinita,infinita,infinita,10,2.5,10.0,0.25,0.3330726275315654,0.07638255187616565,0.13430347884337315,0.030799416079099053,0.2566900756553998,0.0,496,496,0,496
MM1,infinita,infinita,infinita,1,5.0,10.0,0.5,0.9039640915129828,0.4174419320602991,0.18911382667635623,0.08733094812976969,0.48652215945268373,0.0,956,956,0,956
MM1,infinita,infinita,infinita,2,5.0,10.0,0.5,0.9075552966944987,0.40543270274762544,0.18007049537589262,0.0804429965769098,0.5021225939468734,0.0,1008,1008,0,1008
MM1,infinita,infinita,infinita,3,5.0,10.0,0.5,0.9860721364720088,0.4864017987789013,0.1924043193116115,0.09490766805441976,0.49967033769310776,0.0,1025,1025,0,1025
MM1,infinita,infinita,infinita,4,5.0,10.0,0.5,1.0007828065172697,0.49907096193276457,0.1947694283811445,0.0970999211952976,0.5017118445845054,0.0,1029,1029,0,1027
MM1,infinita,infinita,infinita,5,5.0,10.0,0.5,0.976471294370043,0.4769293592920464,0.19568563013427712,0.09557702591022973,0.499541935077996,0.0,998,998,0,998
MM1,infinita,infinita,infinita,6,5.0,10.0,0.5,1.034662224984614,0.5199433701357269,0.20854433671119924,0.10447555507949693,0.5147188548488866,0.0,991,991,0,988
MM1,infinita,infinita,infinita,7,5.0,10.0,0.5,0.8643505166138046,0.38714704654265986,0.1802969931053625,0.08057717345218163,0.4772034700711447,0.0,958,958,0,956
MM1,infinita,infinita,infinita,8,5.0,10.0,0.5,0.9470583600254596,0.4465066394811044,0.1863143799803825,0.08777155612291875,0.5005517205443553,0.0,1017,1017,0,1015
MM1,infinita,infinita,infinita,9,5.0,10.0,0.5,1.0528367850003528,0.5582430631198299,0.20974117553170898,0.11088699521138459,0.49459372188052286,0.0,1004,1004,0,1000
MM1,infinita,infinita,infinita,10,5.0,10.0,0.5,0.9815937269703591,0.46716439647098895,0.18990438624611808,0.09037589716952973,0.5144293304993702,0.0,1034,1034,0,1032
MM1,infinita,infinita,infinita,1,7.5,10.0,0.75,4.112535820275257,3.345748288156326,0.5538603573531364,0.45060583005472465,0.7667875321189264,0.0,1486,1486,0,1485
MM1,infinita,infinita,infinita,2,7.5,10.0,0.75,2.3943287943777243,1.6689251773450633,0.3216022557928438,0.22416725014708708,0.725403617032662,0.0,1489,1489,0,1489
MM1,infinita,infinita,infinita,3,7.5,10.0,0.75,2.8957226410612202,2.1530207601313123,0.3826689931883405,0.2842905903251459,0.7427018809299142,0.0,1513,1513,0,1509
MM1,infinita,infinita,infinita,4,7.5,10.0,0.75,3.0899863007878103,2.338602761323232,0.40297793602999066,0.30495690543928783,0.751383539464566,0.0,1535,1535,0,1533
MM1,infinita,infinita,infinita,5,7.5,10.0,0.75,2.5322902524912765,1.7776327076214629,0.34731265439168235,0.24380214554674856,0.754657544869817,0.0,1459,1459,0,1458
MM1,infinita,infinita,infinita,6,7.5,10.0,0.75,2.797932781818016,2.0606957123611163,0.373551163799713,0.27512626333259277,0.7372370694568977,0.0,1499,1499,0,1498
MM1,infinita,infinita,infinita,7,7.5,10.0,0.75,3.047514080212589,2.2507709672569103,0.39020666840109974,0.28819090489845234,0.7967431129556745,0.0,1562,1562,0,1562
MM1,infinita,infinita,infinita,8,7.5,10.0,0.75,3.51334276362506,2.747797741177466,0.45125305255461406,0.35293786298796703,0.7655450224476009,0.0,1558,1558,0,1557
MM1,infinita,infinita,infinita,9,7.5,10.0,0.75,2.519704489902291,1.7890602895787082,0.33836020930650945,0.24025605111375198,0.7306442003235822,0.0,1490,1490,0,1489
MM1,infinita,infinita,infinita,10,7.5,10.0,0.75,2.2947066242537852,1.5941557144500778,0.3132254872131248,0.21755261305527313,0.7005509098037114,0.0,1467,1467,0,1463
MM1,infinita,infinita,infinita,1,10.0,10.0,1.0,49.9415170601932,48.94474751447761,4.886198278976968,4.7861806377112766,0.9967695457156703,0.0,2065,2065,0,1993
MM1,infinita,infinita,infinita,2,10.0,10.0,1.0,18.96864057166903,17.98740200343916,1.9020392895943836,1.8002379518352467,0.9812385682298683,0.0,1969,1969,0,1926
MM1,infinita,infinita,infinita,3,10.0,10.0,1.0,42.28965617380637,41.317313045910936,4.119912285041974,4.020782400975492,0.9723431278955011,0.0,2049,2049,0,1957
MM1,infinita,infinita,infinita,4,10.0,10.0,1.0,17.96902462250421,16.993149778007034,1.7570856274271758,1.6595294042163926,0.9758748444971735,0.0,2036,2036,0,1996
MM1,infinita,infinita,infinita,5,10.0,10.0,1.0,66.70374339535256,65.72379594003613,6.86190808715257,6.759916274708347,0.9799474553164431,0.0,1974,1974,0,1921
MM1,infinita,infinita,infinita,6,10.0,10.0,1.0,42.30368477701632,41.33085622981719,4.030170862935415,3.9268833412025885,0.9728285471991888,0.0,2008,2008,0,1883
MM1,infinita,infinita,infinita,7,10.0,10.0,1.0,57.766372518996214,56.78007557106744,5.707334902800441,5.607849424670512,0.9862969479288627,0.0,2042,2042,0,1982
MM1,infinita,infinita,infinita,8,10.0,10.0,1.0,57.487323436832924,56.504076107989995,5.406862913866351,5.306021280001927,0.9832473288427944,0.0,2083,2083,0,1948
MM1,infinita,infinita,infinita,9,10.0,10.0,1.0,39.01699583033834,38.034777898081074,4.004523059780676,3.900147956221716,0.9822179322571568,0.0,1954,1954,0,1881
MM1,infinita,infinita,infinita,10,10.0,10.0,1.0,17.92322713758755,16.975034875361573,1.824915150070633,1.7283544302666305,0.9481922622259452,0.0,1973,1973,0,1962
MM1,infinita,infinita,infinita,1,12.5,10.0,1.25,281.4702430690667,280.47148231810564,22.508355845421907,22.406400310571033,0.9987607509612837,0.0,2499,2499,0,1958
MM1,infinita,infinita,infinita,2,12.5,10.0,1.25,245.31129300583103,244.3114047483136,19.96691514332483,19.868064649743253,0.9998882575180568,0.0,2471,2471,0,2023
MM1,infinita,infinita,infinita,3,12.5,10.0,1.25,231.85929893311703,230.86264989560644,19.272173964237,19.17173643849302,0.9966490375103674,0.0,2426,2426,0,1982
MM1,infinita,infinita,infinita,4,12.5,10.0,1.25,240.89946495737698,239.9005068939674,19.012995835858547,18.913724746184734,0.9989580634103521,0.0,2521,2521,0,2011
MM1,infinita,infinita,infinita,5,12.5,10.0,1.25,207.1059823162677,206.10825911783405,16.72735230660719,16.627351338405184,0.9977231984335094,0.0,2447,2447,0,1993
MM1,infinita,infinita,infinita,6,12.5,10.0,1.25,234.95801317268015,233.9582559587075,18.543394545555152,18.444573388090348,0.9997572139725159,0.0,2508,2508,0,2023
MM1,infinita,infinita,infinita,7,12.5,10.0,1.25,189.46012411558075,188.46428215558103,15.274774191604648,15.177005530002985,0.9958419599999984,0.0,2447,2447,0,2036
MM1,infinita,infinita,infinita,8,12.5,10.0,1.25,251.43688864675823,250.43738432055815,21.01136753241302,20.913153424457803,0.9995043261997796,0.0,2472,2472,0,2033
MM1,infinita,infinita,infinita,9,12.5,10.0,1.25,296.2546509263234,295.2554496682707,22.23636175650319,22.13792903492053,0.9992012580529394,0.0,2644,2644,0,2030
MM1,infinita,infinita,infinita,10,12.5,10.0,1.25,321.25774854720055,320.2590469212106,26.011871737959776,25.907723488130767,0.9987016259905604,0.0,2509,2509,0,1916
MM1,finita_0,0,1,1,2.5,10.0,0.25,0.20442136671300973,0.0,0.1024979416825134,0.0,0.20442136671300973,0.22524271844660193,515,399,116,398
MM1,finita_0,0,1,2,2.5,10.0,0.25,0.1916820918779402,0.0,0.10445890565555324,0.0,0.1916820918779402,0.22899159663865545,476,367,109,367
MM1,finita_0,0,1,3,2.5,10.0,0.25,0.19311474793823322,0.0,0.09554072304343302,0.0,0.19311474793823322,0.16322314049586778,484,405,79,404
MM1,finita_0,0,1,4,2.5,10.0,0.25,0.18660756413932894,0.0,0.09330378206966447,0.0,0.18660756413932894,0.1935483870967742,496,400,96,400
MM1,finita_0,0,1,5,2.5,10.0,0.25,0.1958177681530387,0.0,0.09798561436947757,0.0,0.1958177681530387,0.19556451612903225,496,399,97,398
MM1,finita_0,0,1,6,2.5,10.0,0.25,0.20926949104363043,0.0,0.10704321792513065,0.0,0.20926949104363043,0.21485943775100402,498,391,107,391
MM1,finita_0,0,1,7,2.5,10.0,0.25,0.22426424229942896,0.0,0.11129739071931959,0.0,0.22426424229942896,0.24813432835820895,536,403,133,403
MM1,finita_0,0,1,8,2.5,10.0,0.25,0.19790861799402,0.0,0.09920231478396992,0.0,0.19790861799402,0.2099009900990099,505,399,106,399
MM1,finita_0,0,1,9,2.5,10.0,0.25,0.20490085255586796,0.0,0.10374726711689516,0.0,0.20490085255586796,0.21782178217821782,505,395,110,395
MM1,finita_0,0,1,10,2.5,10.0,0.25,0.20754903493634258,0.0,0.09986641094613619,0.0,0.20754903493634258,0.2049808429118774,522,415,107,414
MM1,finita_0,0,1,1,5.0,10.0,0.5,0.3241123282929028,0.0,0.09353891148424325,0.0,0.3241123282929028,0.3317261330761813,1037,693,344,693
MM1,finita_0,0,1,2,5.0,10.0,0.5,0.3304573964348893,0.0,0.09775656535888519,0.0,0.3304573964348893,0.31616161616161614,990,677,313,676
MM1,finita_0,0,1,3,5.0,10.0,0.5,0.3553976894780142,0.0,0.10452873219941594,0.0,0.3553976894780142,0.3247269116186693,1007,680,327,680
MM1,finita_0,0,1,4,5.0,10.0,0.5,0.3304676454868978,0.0,0.09983916782081505,0.0,0.3304676454868978,0.34390485629335976,1009,662,347,662
MM1,finita_0,0,1,5,5.0,10.0,0.5,0.3334749129130614,0.0,0.1018244008894844,0.0,0.3334749129130614,0.34760956175298807,1004,655,349,655
MM1,finita_0,0,1,6,5.0,10.0,0.5,0.32297883427358465,0.0,0.09937810285341066,0.0,0.32297883427358465,0.33537832310838445,978,650,328,650
MM1,finita_0,0,1,7,5.0,10.0,0.5,0.3554610810263544,0.0,0.1065178756090169,0.0,0.3554610810263544,0.361376673040153,1046,668,378,667
MM1,finita_0,0,1,8,5.0,10.0,0.5,0.3465906371178844,0.0,0.10235932230737445,0.0,0.3465906371178844,0.35,1040,676,364,675
MM1,finita_0,0,1,9,5.0,10.0,0.5,0.3242124429451197,0.0,0.0992993699678774,0.0,0.3242124429451197,0.33299284984678246,979,653,326,653
MM1,finita_0,0,1,10,5.0,10.0,0.5,0.32893646555088035,0.0,0.10426421773361837,0.0,0.32893646555088035,0.3322751322751323,945,631,314,630
MM1,finita_0,0,1,1,7.5,10.0,0.75,0.44014010047102026,0.0,0.1041893765884501,0.0,0.44014010047102026,0.4271186440677966,1475,845,630,844
MM1,finita_0,0,1,2,7.5,10.0,0.75,0.4336083063345717,0.0,0.10428520962636867,0.0,0.4336083063345717,0.43859649122807015,1482,832,650,831
