tipo_cola,tamano_cola,capacidad_total,lambda_sobre_mu,lambda,mu,L,Lq,W,Wq,utilizacion,prob_denegacion,llegadas,aceptados,denegados,completados,estable,rho,L_teorico,Lq_teorico,W_teorico,Wq_teorico
finita_0,0,1,0.25,2.5,10.0,0.20155357776508404,0.0,0.1014943568312093,0.0,0.20155357776508404,0.21022677401052497,503.3,397.3,106.0,396.9,True,0.25,,,,
finita_0,0,1,0.5,5.0,10.0,0.3352089433519589,0.0,0.10093066662241416,0.0,0.3352089433519589,0.33761520571732667,1003.5,664.5,339.0,664.1,True,0.5,,,,
finita_0,0,1,0.75,7.5,10.0,0.43478929647208886,0.0,0.1010113669673115,0.0,0.43478929647208886,0.4259595398292014,1501.0,861.5,639.5,860.9,True,0.75,,,,
finita_0,0,1,1.0,10.0,10.0,0.4980165193764289,0.0,0.09882481597085833,0.0,0.4980165193764289,0.4983393831605891,2010.4,1008.1,1002.3,1007.6,True,1.0,,,,
finita_0,0,1,1.25,12.5,10.0,0.5566868958369816,0.0,0.0998520588110387,0.0,0.5566868958369816,0.5518872400474552,2489.8,1115.2,1374.6,1114.8,True,1.25,,,,
finita_10,10,11,0.25,2.5,10.0,0.33950806958519436,0.0857935204834508,0.13235327874272615,0.033415730677136914,0.25371454910174357,0.0,513.2,513.2,0.0,513.0,True,0.25,,,,
finita_10,10,11,0.5,5.0,10.0,0.9743016685263083,0.47640158185659764,0.19661280030524517,0.09601844986946272,0.49790008666971064,0.0001951219512195122,991.0,990.8,0.2,989.1,True,0.5,,,,
finita_10,10,11,0.75,7.5,10.0,2.5591748844866684,1.8255853403136264,0.3469164967959594,0.24738835253445507,0.7335895441730413,0.010091527372342899,1491.5,1476.4,15.1,1474.0,True,0.75,,,,
finita_10,10,11,1.0,10.0,10.0,5.582796556778334,4.661396999958571,0.6029481340488864,0.5032802856067934,0.9213995568197657,0.07809841221620986,2012.3,1854.6,157.7,1848.8,True,1.0,,,,
finita_10,10,11,1.25,12.5,10.0,7.969922171272574,6.988205491575343,0.8192306830222016,0.7181859052549325,0.9817166796972243,0.2253232424696364,2518.5,1950.7,567.8,1944.0,True,1.25,,,,
finita_2,2,3,0.25,2.5,10.0,0.3094154617747047,0.06688773972766299,0.12625375158687907,0.02715387628896136,0.2425277220470417,0.010678304041526632,494.2,488.8,5.4,488.4,True,0.25,,,,
finita_2,2,3,0.5,5.0,10.0,0.7386367997532017,0.27330619331292744,0.15882747463116076,0.05877110375983161,0.46533060644027435,0.06950376344607335,1000.0,930.5,69.5,930.0,True,0.5,,,,
finita_2,2,3,0.75,7.5,10.0,1.1404571117710836,0.5110816743211368,0.18072662374916065,0.08097968669940173,0.6293754374499466,0.15790191655946603,1499.5,1262.7,236.8,1261.7,True,0.75,,,,
finita_2,2,3,1.0,10.0,10.0,1.4984895730924481,0.7539119297211535,0.20045541970819003,0.10085798448852532,0.7445776433712938,0.25141152290572477,1999.6,1496.6,503.0,1494.5,True,1.0,,,,
finita_2,2,3,1.25,12.5,10.0,1.7675329779835949,0.9423414480368029,0.21413610889380624,0.11408593831988348,0.8251915299467927,0.33824335601174566,2496.0,1651.2,844.8,1648.7,True,1.25,,,,
finita_5,5,6,0.25,2.5,10.0,0.34077733939480537,0.08634877243227956,0.1377384332186801,0.03468969999230832,0.2544285669625258,0.0,494.0,494.0,0.0,493.8,True,0.25,,,,
finita_5,5,6,0.5,5.0,10.0,0.9659175120947235,0.4653817445482583,0.19592181021266225,0.09436471731236783,0.5005357675464652,0.00947816540522746,995.7,986.3,9.4,985.9,True,0.5,,,,
finita_5,5,6,0.75,7.5,10.0,1.8844373228223108,1.1804374090530763,0.26589019494342647,0.16648158210015335,0.7039999137692344,0.053046009533250615,1496.8,1417.0,79.8,1416.1,True,0.75,,,,
finita_5,5,6,1.0,10.0,10.0,3.037222938316444,2.1756163533956583,0.3581223878083544,0.2564769924925037,0.8616065849207842,0.1459900400389112,1988.0,1697.4,290.6,1695.0,True,1.0,,,,
finita_5,5,6,1.25,12.5,10.0,3.861779679069906,2.926805282049458,0.41254603267026957,0.31259516825609474,0.9349743970204472,0.25335941035894427,2511.4,1874.1,637.3,1870.6,True,1.25,,,,
finita_50,50,51,0.25,2.5,10.0,0.32955666595406846,0.08513136821216516,0.13287649947927593,0.03427091911580766,0.24442529774190333,0.0,495.7,495.7,0.0,495.4,True,0.25,,,,
finita_50,50,51,0.5,5.0,10.0,1.008323586698785,0.5060187950118572,0.20301366199988014,0.10180898808751992,0.5023047916869279,0.0,993.1,993.1,0.0,991.2,True,0.5,,,,
finita_50,50,51,0.75,7.5,10.0,2.9979883681727357,2.2544039128119353,0.4026462264712782,0.302656769495565,0.743584455360802,0.0,1489.0,1489.0,0.0,1486.7,True,0.75,,,,
finita_50,50,51,1.0,10.0,10.0,22.692687006086707,21.728368085893912,2.341038784160168,2.2410893139260426,0.9643189201928004,0.01892132939405158,1988.9,1951.2,37.7,1930.1,True,1.0,,,,
finita_50,50,51,1.25,12.5,10.0,45.274019592375296,44.27538147765292,4.510828371043901,4.409995610940139,0.9986381147223742,0.18683287907504936,2495.5,2028.3,467.2,1979.9,True,1.25,,,,
infinita,infinita,infinita,0.25,2.5,10.0,0.3260273185508561,0.08246357825699022,0.13446408181799113,0.033890508790616,0.24356374029386588,0.0,485.0,485.0,0.0,484.5,True,0.25,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.03333333333333333
infinita,infinita,infinita,0.5,5.0,10.0,0.9655347239161394,0.4664281270561947,0.1926844971454053,0.09294457369021383,0.4991065968599446,0.0,1002.0,1002.0,0.0,1000.5,True,0.5,1.0,0.5,0.2,0.1
infinita,infinita,infinita,0.75,7.5,10.0,2.919806454880503,2.1726410119401676,0.3875018778031055,0.2881886416901031,0.7471654429403352,0.0,1505.8,1505.8,0.0,1504.3,True,0.75,3.0,2.25,0.4,0.3
infinita,infinita,infinita,1.0,10.0,10.0,41.03701855242967,40.05912289641881,4.0500950457646585,3.949590310181013,0.9778956560108604,0.0,2015.3,2015.3,0.0,1944.9,False,1.0,,,,
infinita,infinita,infinita,1.25,12.5,10.0,250.00137076902024,249.0028721998155,20.056556285948524,19.956766234899966,0.9984985692049364,0.0,2494.4,2494.4,0.0,2000.5,False,1.25,,,,
